epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.87,1.30256,2.18173,1.34674,0.88706,0.8937,0.94005,0.61926,1.09002,0.93667,1.20349,0.000369644,0.000369644,0.000369644
2,332.723,1.2162,1.41981,1.27131,0.95784,0.89962,0.95887,0.64882,1.08552,0.80442,1.20572,0.000593462,0.000593462,0.000593462
3,499.486,1.17234,1.17831,1.23783,0.97748,0.93835,0.9787,0.68293,1.01855,0.66662,1.1465,0.000670627,0.000670627,0.000670627
4,665.425,1.11241,0.99503,1.20871,0.97148,0.94528,0.97561,0.69005,1.00257,0.6101,1.1502,0.000451066,0.000451066,0.000451066
5,833.558,1.07068,0.87138,1.16741,0.98689,0.95823,0.98491,0.70461,0.94229,0.54767,1.11032,0.000231088,0.000231088,0.000231088
